Accession,Description,Norm Avg Ratio
Q9BS26,Endoplasmic reticulum resident protein 44,1.548994051
P08574,"Cytochrome c1, heme protein, mitochondrial",1.547841837
Q92544,Transmembrane 9 superfamily member 4,1.54735866
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",1.546268651
Q9BTV4,Transmembrane protein 43,1.5443115
Q9Y6M0,Testisin,1.544139748
Q969N2,GPI transamidase component PIG-T,1.543129533
Q96JJ7,Protein disulfide-isomerase TMX3,1.51694016
P28482,Mitogen-activated protein kinase 1,1.497848552
P55036,26S proteasome non-ATPase regulatory subunit 4,1.494807109
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",1.490871025
O96005,Cleft lip and palate transmembrane protein 1,1.486358886
P16070,CD44 antigen,1.475484352
O15118,Niemann-Pick C1 protein,1.474572149
Q9HC07,Transmembrane protein 165,1.463555906
P67812,Signal peptidase complex catalytic subunit SEC11A,1.462018065
Q9H3N1,Thioredoxin-related transmembrane protein 1,1.461829878
Q9BY32,Inosine triphosphate pyrophosphatase,1.44228582
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",1.438977559
P04062,Glucosylceramidase,1.435163129
Q05682,Caldesmon,1.432459126
O60486,Plexin-C1,1.431525273
Q8TBP6,Solute carrier family 25 member 40,1.412839329
Q9BY50,Signal peptidase complex catalytic subunit SEC11C,1.409860731
P67870,Casein kinase II subunit beta,1.400544663
O75746,Calcium-binding mitochondrial carrier protein Aralar1,1.397539585
Q92552,"28S ribosomal protein S27, mitochondrial",1.386509077
Q92922,SWI/SNF complex subunit SMARCC1,1.381916747
O95396,Adenylyltransferase and sulfurtransferase MOCS3,1.378241647
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog,1.376040348
Q9Y2Z0,Suppressor of G2 allele of SKP1 homolog,1.375487485
Q9UKS6,Protein kinase C and casein kinase substrate in neurons protein 3,1.375096563
P46092,C-C chemokine receptor type 10,1.373356288
P37268,Squalene synthase,1.372689041
P01903,"HLA class II histocompatibility antigen, DR alpha chain",1.371544288
P31146,Coronin-1A,1.368348918
Q93050,V-type proton ATPase 116 kDa subunit a isoform 1,1.361842122
O95071,E3 ubiquitin-protein ligase UBR5,1.358571661
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",1.358167878
O94905,Erlin-2,1.357751283
Q14254,Flotillin-2,1.355923269
P10768,S-formylglutathione hydrolase,1.354351094
Q99805,Transmembrane 9 superfamily member 2,1.351125845
Q9Y316,Protein MEMO1,1.350653236
Q8NBP7,Proprotein convertase subtilisin/kexin type 9,1.34133319
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",1.338267321
O75818,Ribonuclease P protein subunit p40,1.336510572
Q14699,Raftlin,1.335904278
P49257,Protein ERGIC-53,1.333443146
Q9BUL8,Programmed cell death protein 10,1.327659611
P43307,Translocon-associated protein subunit alpha,1.323143843
Q9Y3B3,Transmembrane emp24 domain-containing protein 7,1.321974157
P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,1.320299274
Q9H444,Charged multivesicular body protein 4b,1.313763006
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",1.309438191
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",1.305766911
P49755,Transmembrane emp24 domain-containing protein 10,1.305621652
O60684,Importin subunit alpha-7,1.303864975
Q5SGD2,Protein phosphatase 1L,1.301018756
Q14160,Protein scribble homolog,1.300347128
P50552,Vasodilator-stimulated phosphoprotein,1.298308272
Q63HN8,RING finger protein 213,1.296935867
P57081,tRNA (guanine-N(7)-)-methyltransferase subunit WDR4,1.293353314
P17858,"6-phosphofructokinase, liver type",1.289454868
Q16630,Cleavage and polyadenylation specificity factor subunit 6,1.284461344
Q96KP4,Cytosolic non-specific dipeptidase,1.283747895
Q9UNN5,FAS-associated factor 1,1.281983712
P00387,NADH-cytochrome b5 reductase 3,1.277376894
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,1.276867557
Q8N766,Uncharacterized protein KIAA0090,1.276481321
P23458,Tyrosine-protein kinase JAK1,1.275862314
Q5T1V6,Probable ATP-dependent RNA helicase DDX59,1.274963735
Q13428,Treacle protein,1.27396601
P31350,Ribonucleoside-diphosphate reductase subunit M2,1.272922481
P05362,Intercellular adhesion molecule 1,1.272405126
O75964,"ATP synthase subunit g, mitochondrial",1.270639664
P06493,Cyclin-dependent kinase 1,1.267411685
Q68EM7,Rho GTPase-activating protein 17,1.267117419
Q9UBS4,DnaJ homolog subfamily B member 11,1.265640397
P98194,Calcium-transporting ATPase type 2C member 1,1.264656287
O75131,Copine-3,1.264451193
Q9H7F0,Probable cation-transporting ATPase 13A3,1.264195944
P00403,Cytochrome c oxidase subunit 2,1.264067756
Q9Y5T5,Ubiquitin carboxyl-terminal hydrolase 16,1.261523951
Q8NBN3,Transmembrane protein 87A,1.260809
Q9Y2R4,Probable ATP-dependent RNA helicase DDX52,1.257927397
Q08378,Golgin subfamily A member 3,1.257365444
O15145,Actin-related protein 2/3 complex subunit 3,1.255106025
Q9P2N5,RNA-binding protein 27,1.252595715
P40222,Alpha-taxilin,1.252038904
P46939,Utrophin,1.251774677
Q9NTJ5,Phosphatidylinositide phosphatase SAC1,1.2515453
O43290,U4/U6.U5 tri-snRNP-associated protein 1,1.250661117
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,1.250210512
Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,1.249821496
Q9HD45,Transmembrane 9 superfamily member 3,1.249015615
Q8IWA0,WD repeat-containing protein 75,1.247695877
Q15024,Exosome complex component RRP42,1.246915501
Q9ULH0,Kinase D-interacting substrate of 220 kDa,1.24582571
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,1.245326196
P43121,Cell surface glycoprotein MUC18,1.244357398
O15427,Monocarboxylate transporter 4,1.243945553
P02786,Transferrin receptor protein 1,1.242336142
Q9BSJ8,Extended synaptotagmin-1,1.240437321
O43396,Thioredoxin-like protein 1,1.239685057
P61088,Ubiquitin-conjugating enzyme E2 N,1.238386377
P55795,Heterogeneous nuclear ribonucleoprotein H2,1.237929444
Q6DKI1,60S ribosomal protein L7-like 1,1.236974462
P15291,"Beta-1,4-galactosyltransferase 1",1.236861546
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial",1.236547299
Q15007,Pre-mRNA-splicing regulator WTAP,1.23578634
Q9NUJ1,"Abhydrolase domain-containing protein 10, mitochondrial",1.23479199
O95359,Transforming acidic coiled-coil-containing protein 2,1.234097231
Q04721,Neurogenic locus notch homolog protein 2,1.23346333
P62487,DNA-directed RNA polymerase II subunit RPB7,1.232567411
Q9Y5Y6,Suppressor of tumorigenicity 14 protein,1.231867944
O96008,Mitochondrial import receptor subunit TOM40 homolog,1.230895975
Q9P0L0,Vesicle-associated membrane protein-associated protein A,1.229774104
P16401,Histone H1.5,1.229451398
P17706,Tyrosine-protein phosphatase non-receptor type 2,1.229012904
Q9H6S0,Probable ATP-dependent RNA helicase YTHDC2,1.227623383
Q7Z7H8,"39S ribosomal protein L10, mitochondrial",1.221066638
Q13217,DnaJ homolog subfamily C member 3,1.219089675
Q9P289,Serine/threonine-protein kinase MST4,1.219087679
P13284,Gamma-interferon-inducible lysosomal thiol reductase,1.216006386
Q5BKZ1,Zinc finger protein 326,1.215219634
O75475,PC4 and SFRS1-interacting protein,1.21492069
P33121,Long-chain-fatty-acid--CoA ligase 1,1.214576404
Q99459,Cell division cycle 5-like protein,1.214559765
O15381,Nuclear valosin-containing protein-like,1.214452902
Q9UNQ2,Probable dimethyladenosine transferase,1.213991534
Q9NRF9,DNA polymerase epsilon subunit 3,1.213945706
O00566,U3 small nucleolar ribonucleoprotein protein MPP10,1.212008562
O43156,TEL2-interacting protein 1 homolog,1.21116159
P84103,Serine/arginine-rich splicing factor 3,1.209906347
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,1.209231079
Q9Y2R0,Coiled-coil domain-containing protein 56,1.207674474
P42892,Endothelin-converting enzyme 1,1.207247706
Q86V81,THO complex subunit 4,1.206425409
Q9H1Y0,Autophagy protein 5,1.205239893
O43491,Band 4.1-like protein 2,1.204755227
Q9UDY4,DnaJ homolog subfamily B member 4,1.20394595
O75116,Rho-associated protein kinase 2,1.203529257
Q68CZ2,Tensin-3,1.20345792
Q9UK41,Vacuolar protein sorting-associated protein 28 homolog,1.203181488
P0CW18,Putative serine protease 56,1.201736911
Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial",1.201594236
Q9NWS0,PIH1 domain-containing protein 1,1.200711439
Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,1.200006984
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,1.199454121
Q3LXA3,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),1.198225662
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase,1.197257284
Q9NX63,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",1.195800603
Q9UDW1,Cytochrome b-c1 complex subunit 9,1.195405737
P78406,mRNA export factor,1.194512103
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,1.193604474
P30042,"ES1 protein homolog, mitochondrial",1.192572343
Q8NCG7,Sn1-specific diacylglycerol lipase beta,1.190438888
P09012,U1 small nuclear ribonucleoprotein A,1.190375172
Q12824,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,1.190212873
O14976,Cyclin-G-associated kinase,1.188343358
P48960,CD97 antigen,1.188127181
Q9BUB7,"Transmembrane protein 70, mitochondrial",1.187888584
P09104,Gamma-enolase,1.187834467
Q9NUQ9,Protein FAM49B,1.187692407
O00629,Importin subunit alpha-4,1.187198986
P24539,"ATP synthase subunit b, mitochondrial",1.186176492
A0FGR8,Extended synaptotagmin-2,1.186060569
Q9H2U1,Probable ATP-dependent RNA helicase DHX36,1.185953564
Q86SF2,N-acetylgalactosaminyltransferase 7,1.185922797
Q6IEE7,Transmembrane protein 132E,1.184917697
Q9H7B2,Ribosome production factor 2 homolog,1.184793932
Q7Z3U7,Protein MON2 homolog,1.183701016
Q9UIQ6,Leucyl-cystinyl aminopeptidase,1.181735754
O95831,"Apoptosis-inducing factor 1, mitochondrial",1.18146824
Q9BUI4,DNA-directed RNA polymerase III subunit RPC3,1.17729777
O95602,DNA-directed RNA polymerase I subunit RPA1,1.175695903
Q9Y3A6,Transmembrane emp24 domain-containing protein 5,1.175385639
Q15005,Signal peptidase complex subunit 2,1.174298855
Q13111,Chromatin assembly factor 1 subunit A,1.173037417
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3,1.172945056
Q8NFH3,Nucleoporin Nup43,1.172704762
Q13445,Transmembrane emp24 domain-containing protein 1,1.17153685
Q86TG7,Retrotransposon-derived protein PEG10,1.16972937
Q96PU8,Protein quaking,1.169421176
Q13427,Peptidyl-prolyl cis-trans isomerase G,1.169213666
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,1.168511627
P18031,Tyrosine-protein phosphatase non-receptor type 1,1.1678674
Q9H3P7,Golgi resident protein GCP60,1.167123921
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,1.166086029
Q9H2H8,Peptidyl-prolyl cis-trans isomerase-like 3,1.165449315
O15126,Secretory carrier-associated membrane protein 1,1.165427864
Q9Y2T2,AP-3 complex subunit mu-1,1.165408461
P84095,Rho-related GTP-binding protein RhoG,1.165128201
Q86UV5,Ubiquitin carboxyl-terminal hydrolase 48,1.164846134
O75937,DnaJ homolog subfamily C member 8,1.163937132
Q7L5D6,Golgi to ER traffic protein 4 homolog,1.163197897
P50995,Annexin A11,1.162795737
Q6DKJ4,Nucleoredoxin,1.162742235
Q08257,Quinone oxidoreductase,1.162601394
Q92536,Y+L amino acid transporter 2,1.161770266
Q9BTW9,Tubulin-specific chaperone D,1.160887468
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,1.16004034
Q9Y5Q9,General transcription factor 3C polypeptide 3,1.159371554
P35637,RNA-binding protein FUS,1.157632017
P51571,Translocon-associated protein subunit delta,1.157473017
Q14690,Protein RRP5 homolog,1.157316687
Q12789,General transcription factor 3C polypeptide 1,1.156999593
P13987,CD59 glycoprotein,1.156953622
Q9H061,Transmembrane protein 126A,1.156892587
P30876,DNA-directed RNA polymerase II subunit RPB2,1.156687493
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",1.156275397
O95466,Formin-like protein 1,1.154439876
Q9H173,Nucleotide exchange factor SIL1,1.154288781
Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A,1.154153207
Q8NBJ7,Sulfatase-modifying factor 2,1.154128272
P46926,Glucosamine-6-phosphate isomerase 1,1.15386162
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",1.153147386
Q96AG4,Leucine-rich repeat-containing protein 59,1.151201323
O95747,Serine/threonine-protein kinase OSR1,1.14991938
Q9BVK6,Transmembrane emp24 domain-containing protein 9,1.14973212
Q8TC07,TBC1 domain family member 15,1.149149957
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",1.148448051
P17252,Protein kinase C alpha type,1.148418266
Q13492,Phosphatidylinositol-binding clathrin assembly protein,1.147672259
Q9NZW5,MAGUK p55 subfamily member 6,1.147488434
O94973,AP-2 complex subunit alpha-2,1.14724154
P62847,40S ribosomal protein S24,1.146727042
Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",1.146689949
Q9BTD8,RNA-binding protein 42,1.146644406
P41567,Eukaryotic translation initiation factor 1,1.146487018
Q07960,Rho GTPase-activating protein 1,1.144927619
O60306,Intron-binding protein aquarius,1.144095668
Q8TD16,Protein bicaudal D homolog 2,1.142785159
Q9NPD8,Ubiquitin-conjugating enzyme E2 T,1.141465926
Q8WXF1,Paraspeckle component 1,1.140993317
Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating],1.140957649
O75821,Eukaryotic translation initiation factor 3 subunit G,1.140510695
O15372,Eukaryotic translation initiation factor 3 subunit H,1.13979842
P37108,Signal recognition particle 14 kDa protein,1.139540619
Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,1.139268246
Q8WU39,Plasma cell-induced resident endoplasmic reticulum protein,1.139251805
P56182,Ribosomal RNA processing protein 1 homolog A,1.137426459
Q8TAT6,Nuclear protein localization protein 4 homolog,1.136891431
Q9NPF4,Probable tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP,1.136507993
Q86UX7,Fermitin family homolog 3,1.136441439
P61019,Ras-related protein Rab-2A,1.135773812
Q9BQE5,Apolipoprotein L2,1.135339847
P42766,60S ribosomal protein L35,1.134370085
O14530,Thioredoxin domain-containing protein 9,1.133909733
Q9UHG3,Prenylcysteine oxidase 1,1.133774916
P15927,Replication protein A 32 kDa subunit,1.133565335
O43172,U4/U6 small nuclear ribonucleoprotein Prp4,1.133351324
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,1.132808831
O75027,"ATP-binding cassette sub-family B member 7, mitochondrial",1.132364679
O60784,Target of Myb protein 1,1.132326193
Q7KZ85,Transcription elongation factor SPT6,1.132181579
P50897,Palmitoyl-protein thioesterase 1,1.131675478
O00161,Synaptosomal-associated protein 23,1.130747353
Q9Y5K6,CD2-associated protein,1.13067618
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2,1.129829052
Q9NVH1,DnaJ homolog subfamily C member 11,1.129320774
Q9NVI7,ATPase family AAA domain-containing protein 3A,1.12930294
Q6DD88,Atlastin-3,1.129249437
Q8WVV9,Heterogeneous nuclear ribonucleoprotein L-like,1.128512999
Q13769,THO complex subunit 5 homolog,1.128417602
P35221,Catenin alpha-1,1.127787025
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3,1.127722568
P60891,Ribose-phosphate pyrophosphokinase 1,1.127428418
Q8NBZ7,UDP-glucuronic acid decarboxylase 1,1.127109032
Q9UKL0,REST corepressor 1,1.127048419
P07947,Tyrosine-protein kinase Yes,1.126936442
Q9UIG0,Tyrosine-protein kinase BAZ1B,1.126893598
Q5JS54,Proteasome assembly chaperone 4,1.126838832
O14828,Secretory carrier-associated membrane protein 3,1.126609962
Q9NQT4,Exosome complex component RRP46,1.126303079
Q96SB4,Serine/threonine-protein kinase SRPK1,1.125807061
Q92882,Osteoclast-stimulating factor 1,1.125268203
P37235,Hippocalcin-like protein 1,1.12502271
Q96FW1,Ubiquitin thioesterase OTUB1,1.124774101
Q9BV20,Methylthioribose-1-phosphate isomerase,1.123426541
Q9H2D1,Mitochondrial folate transporter/carrier,1.12333737
P04439,"HLA class I histocompatibility antigen, A-3 alpha chain",1.123046904
Q9Y221,60S ribosome subunit biogenesis protein NIP7 homolog,1.122392152
Q9H0U4,Ras-related protein Rab-1B,1.122045783
O14579,Coatomer subunit epsilon,1.119951336
Q99961,Endophilin-A2,1.119650405
Q9NP72,Ras-related protein Rab-18,1.119610003
Q9HC38,Glyoxalase domain-containing protein 4,1.118746484
O43747,AP-1 complex subunit gamma-1,1.118506365
P09429,High mobility group protein B1,1.118327601
P35268,60S ribosomal protein L22,1.118218928
Q9H2P9,Diphthine synthase,1.117870044
P53007,"Tricarboxylate transport protein, mitochondrial",1.117404415
P52292,Importin subunit alpha-2,1.117236481
P16333,Cytoplasmic protein NCK1,1.116144499
P49841,Glycogen synthase kinase-3 beta,1.115970276
Q8IXM3,"39S ribosomal protein L41, mitochondrial",1.115780044
Q93008,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,1.115623828
O75165,DnaJ homolog subfamily C member 13,1.115424369
P35270,Sepiapterin reductase,1.115276271
O95251,Histone acetyltransferase MYST2,1.115144349
Q96C36,Pyrroline-5-carboxylate reductase 2,1.11502659
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",1.114857165
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",1.113984334
Q8IY95,Transmembrane protein 192,1.113213433
P30086,Phosphatidylethanolamine-binding protein 1,1.112812155
Q13303,Voltage-gated potassium channel subunit beta-2,1.112719588
P46087,Putative ribosomal RNA methyltransferase NOP2,1.112663547
O75955,Flotillin-1,1.112253358
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",1.112203758
P47897,Glutaminyl-tRNA synthetase,1.111878838
P27824,Calnexin,1.11139004
Q15042,Rab3 GTPase-activating protein catalytic subunit,1.111299384
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1,1.111236804
Q9UBM7,7-dehydrocholesterol reductase,1.109989139
Q9UKV8,Protein argonaute-2,1.109795127
Q9ULX3,RNA-binding protein NOB1,1.109007517
Q14353,Guanidinoacetate N-methyltransferase,1.10756294
Q96TA2,ATP-dependent zinc metalloprotease YME1L1,1.10750052
Q8WVM8,Sec1 family domain-containing protein 1,1.107270186
P00374,Dihydrofolate reductase,1.106608805
P19387,DNA-directed RNA polymerase II subunit RPB3,1.106599888
P36578,60S ribosomal protein L4,1.106100528
Q9Y2W1,Thyroid hormone receptor-associated protein 3,1.106047025
Q9UNH7,Sorting nexin-6,1.105655474
O15247,Chloride intracellular channel protein 2,1.105434043
P78346,Ribonuclease P protein subunit p30,1.104959133
Q96ST2,Protein IWS1 homolog,1.104826063
Q9H4M9,EH domain-containing protein 1,1.10457867
Q8IXH7,Negative elongation factor C/D,1.10346997
P62841,40S ribosomal protein S15,1.102924827
Q9BYX2,TBC1 domain family member 2A,1.102578256
Q13952,Nuclear transcription factor Y subunit gamma,1.10234641
P04920,Anion exchange protein 2,1.102256648
Q96IJ6,Mannose-1-phosphate guanyltransferase alpha,1.101684201
Q9UKY7,Protein CDV3 homolog,1.101644453
Q13442,28 kDa heat- and acid-stable phosphoprotein,1.101499281
Q99627,COP9 signalosome complex subunit 8,1.101365524
Q9GZM5,Protein YIPF3,1.101276352
Q9Y696,Chloride intracellular channel protein 4,1.101089092
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1.101081848
Q10570,Cleavage and polyadenylation specificity factor subunit 1,1.100826824
P63173,60S ribosomal protein L38,1.100697931
P54920,Alpha-soluble NSF attachment protein,1.100313301
P54819,"Adenylate kinase 2, mitochondrial",1.099840692
O75530,Polycomb protein EED,1.099157435
O43760,Synaptogyrin-2,1.099154072
P46459,Vesicle-fusing ATPase,1.0988964
P04040,Catalase,1.098839271
Q9Y6M5,Zinc transporter 1,1.098817526
Q96T49,Protein phosphatase 1 regulatory inhibitor subunit 16B,1.098592292
O94874,E3 UFM1-protein ligase 1,1.098529872
P52907,F-actin-capping protein subunit alpha-1,1.098430617
Q15404,Ras suppressor protein 1,1.097825417
P21291,Cysteine and glycine-rich protein 1,1.097231231
P62424,60S ribosomal protein L7a,1.096951537
P35658,Nuclear pore complex protein Nup214,1.096363005
Q01844,RNA-binding protein EWS,1.095997126
Q99747,Gamma-soluble NSF attachment protein,1.095738805
Q14562,ATP-dependent RNA helicase DHX8,1.095302137
P51572,B-cell receptor-associated protein 31,1.095166453
O95478,Ribosome biogenesis protein NSA2 homolog,1.095104766
P15924,Desmoplakin,1.095016517
Q9HDC9,Adipocyte plasma membrane-associated protein,1.094852145
Q8NCA5,Protein FAM98A,1.09454257
P27361,Mitogen-activated protein kinase 3,1.094012719
O43169,Cytochrome b5 type B,1.093651852
Q9GZR7,ATP-dependent RNA helicase DDX24,1.093616525
Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1,1.093244955
P60903,Protein S100-A10,1.091771517
Q9UNE7,E3 ubiquitin-protein ligase CHIP,1.091701079
Q13151,Heterogeneous nuclear ribonucleoprotein A0,1.091690421
Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",1.091235647
O95372,Acyl-protein thioesterase 2,1.090756541
Q8WTT2,Nucleolar complex protein 3 homolog,1.090584695
P62913,60S ribosomal protein L11,1.090584695
O15397,Importin-8,1.090204325
Q6AI08,HEAT repeat-containing protein 6,1.089922716
P61289,Proteasome activator complex subunit 3,1.089744503
P41214,Eukaryotic translation initiation factor 2D,1.089657312
P25325,3-mercaptopyruvate sulfurtransferase,1.089033112
O00233,26S proteasome non-ATPase regulatory subunit 9,1.089028256
O00560,Syntenin-1,1.088849841
P11279,Lysosome-associated membrane glycoprotein 1,1.088377121
Q7Z2Z2,Elongation factor Tu GTP-binding domain-containing protein 1,1.08769598
Q15363,Transmembrane emp24 domain-containing protein 2,1.08756993
Q9Y3D9,"28S ribosomal protein S23, mitochondrial",1.087481529
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,1.087468971
Q9BXP5,Serrate RNA effector molecule homolog,1.086990896
P48449,Lanosterol synthase,1.086586464
P62081,40S ribosomal protein S7,1.08625988
P61024,Cyclin-dependent kinases regulatory subunit 1,1.086144319
P00505,"Aspartate aminotransferase, mitochondrial",1.085138214
P11171,Protein 4.1,1.084830228
P09669,Cytochrome c oxidase subunit 6C,1.084412315
O60884,DnaJ homolog subfamily A member 2,1.083977091
O95782,AP-2 complex subunit alpha-1,1.083923588
P61225,Ras-related protein Rap-2b,1.083727411
Q13868,Exosome complex component RRP4,1.083147796
Q13423,"NAD(P) transhydrogenase, mitochondrial",1.082962994
Q05397,Focal adhesion kinase 1,1.082942103
Q9BSC4,Nucleolar protein 10,1.082926924
P36404,ADP-ribosylation factor-like protein 2,1.082793257
Q96BP3,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,1.082586016
Q9H0A8,COMM domain-containing protein 4,1.082232328
P31150,Rab GDP dissociation inhibitor alpha,1.082086656
Q09666,Neuroblast differentiation-associated protein AHNAK,1.081426758
Q14692,Ribosome biogenesis protein BMS1 homolog,1.08135545
Q14103,Heterogeneous nuclear ribonucleoprotein D0,1.08129303
Q9UL15,BAG family molecular chaperone regulator 5,1.081127205
Q00535,Cyclin-dependent kinase 5,1.081082537
Q96CS3,FAS-associated factor 2,1.080958351
Q8N543,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,1.080295077
Q99536,Synaptic vesicle membrane protein VAT-1 homolog,1.080151635
Q9BWF3,RNA-binding protein 4,1.080147616
P62875,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1.079528267
P27816,Microtubule-associated protein 4,1.079126164
Q9NXG2,THUMP domain-containing protein 1,1.07898439
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,1.078707058
O60287,Nucleolar pre-ribosomal-associated protein 1,1.078635721
P62306,Small nuclear ribonucleoprotein F,1.078481161
O75153,Protein KIAA0664,1.078268509
Q14498,RNA-binding protein 39,1.077637001
Q9Y2X3,Nucleolar protein 58,1.077470336
Q96EN8,Molybdenum cofactor sulfurase,1.077452485
Q9P035,3-hydroxyacyl-CoA dehydratase 3,1.077139794
P60981,Destrin,1.076932546
Q15435,Protein phosphatase 1 regulatory subunit 7,1.07669695
P04818,Thymidylate synthase,1.076522443
Q8NCW5,Apolipoprotein A-I-binding protein,1.076432771
P63313,Thymosin beta-10,1.076053031
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1.075844654
O43809,Cleavage and polyadenylation specificity factor subunit 5,1.075452415
P51858,Hepatoma-derived growth factor,1.075256123
O95758,Regulator of differentiation 1,1.074686827
